transaction_id,customer_id,transaction_datetime,transaction_type,merchant_category,merchant_name,currency,amount,fee
T1000053,C101815,2025-07-13 08:31:55,card_spend,electronics,AirAsia,MYR,230.61,1.02
T1000054,C107599,2023-04-04 08:39:43,card_spend,travel,AEON,MYR,36.04,0.52
T1000055,C104296,2023-07-26 07:15:36,card_spend,food_delivery,Shopee,MYR,102.58,0.57
T1000056,C104314,2025-02-13 07:01:53,transfer_out,groceries,AEON,MYR,112.73,1.14
T1000057,C101947,2024-09-21 09:19:07,card_spend,travel,Tesco,MYR,61.89,0.36
T1000058,C106516,2023-09-17 06:08:48,cash_withdrawal,ride_hailing,AirAsia,MYR,266.21,2.09
T1000059,C100933,2023-10-22 14:14:54,transfer_out,ecommerce,Samsung,SGD,259.43,0.89
T1000060,C104098,2022-12-21 16:12:39,transfer_out,food_delivery,Grab,SGD,283.48,1.07
T1000061,C103046,07/11/2023 01:30,transfer_in,subscriptions,AirAsia,MYR,26.63,0.0
T1000062,C100114,29/11/2022 20:14,card_spend,ride_hailing,TNB,IDR,164.77,0.51
T1000063,C101064,2022-03-15 00:18:23,card_spend,groceries,TNB,MYR,50.09,0.67
T1000064,C102181,2023-07-12 05:51:13,transfer_out,electronics,TNG,MYR,195.61,0.06
T1000065,C105795,2022-06-21 16:06:26,card_spend,subscriptions,AEON,SGD,15.22,0.72
T1000066,C105753,2022-08-03 19:13:43,transfer_out,utilities,Maxis,MYR,280.3,2.06
T1000067,C100936,13/03/2024 22:16,fx_spend,utilities,Maxis,MYR,153.02,0.35
T1000068,C104596,2022-05-11 04:17:10,fx_spend,groceries,Tesco,MYR,179.17,1.61
T1000069,C103713,2023-10-01 19:07:40,transfer_out,ecommerce,Tesco,VND,365.5,1.74
T1000070,C103566,2022-10-31 13:06:22,card_spend,subscriptions,AirAsia,USD,114.89,0.48
T1000071,C101667,2025-07-14 12:52:01,transfer_out,electronics,Shopee,IDR,701.01,2.41
T1000072,C104380,2023-11-12 04:38:44,transfer_in,subscriptions,Samsung,MYR,598.35,0.0
T1000073,C103343,2024-08-16 22:41:20,fx_spend,ecommerce,AEON,VND,204.51,0.36
T1000074,C103818,2024-06-28 08:41:01,fx_spend,food_delivery,Lazada,USD,101.4,1.0
T1000075,C101599,2023-11-08 10:28:36,card_spend,ride_hailing,Shopee,MYR,33.73,0.43
T1000076,C106364,2022-12-22 02:03:52,card_spend,subscriptions,Lazada,MYR,87.34,0.45
T1000077,C107112,2025-09-27 15:49:39,transfer_out,food_delivery,shopee,MYR,76.65,1.85
T1000078,C105353,2022-05-19 15:59:01,card_spend,groceries,Grab,VND,86.74,0.38
T1000079,C107183,17/12/2023 14:10,card_spend,travel,TNB,SGD,110.67,0.88
T1000080,C105697,2023-01-12 11:28:08,card_spend,food_delivery,Netflix,THB,87.81,0.47
T1000081,C107559,02/11/2022 16:41,card_spend,electronics,Samsung,MYR,55.84,1.33
T1000082,C104690,2025-03-17 14:07:26,transfer_out,ecommerce,AEON,MYR,147.43,1.72
T1000083,C102822,2022-11-05 14:36:22,fx_spend,ecommerce,AEON,MYR,113.0,1.03
T1000084,C105102,2025-09-16 21:07:14,card_spend,ride_hailing,Grab,SGD,24.35,0.34
T1000085,C106339,2024-05-19 17:54:15,transfer_out,ecommerce,Maxis,USD,506.78,0.85
T1000086,C103037,2025-07-20 10:07:41,cash_withdrawal,ride_hailing,Maxis,PHP,465.88,2.5
T1000087,C107518,2023-07-01 22:01:04,transfer_out,utilities,Grab,MYR,316.04,1.1
T1000088,C107465,2023-09-08 03:45:14,fx_spend,food_delivery,AirAsia,SGD,42.51,0.95
T1000089,C106831,2024-05-05 19:34:15,transfer_in,groceries,Grab,SGD,554.77,0.0
T1000090,C105229,04/09/2024 13:07,transfer_out,food_delivery,Lazada,USD,161.97,3.05
T1000091,C101902,24/01/2023 04:33,card_spend,ecommerce,Maxis,MYR,44.71,0.4
T1000092,C102754,2023-09-05 18:55:49,card_spend,electronics,Tesco,MYR,64.42,0.01
T1000093,C102331,2024-06-06 04:32:17,transfer_out,groceries,TNG,MYR,437.22,1.8
T1000094,C104127,2025-04-01 22:54:13,card_spend,subscriptions,Grab,MYR,60.89,0.8
T1000095,C105931,2024-09-12 11:00:14,card_spend,ecommerce,AEON,SGD,100.92,0.24
T1000096,C102355,2023-06-02 23:00:23,card_spend,ecommerce,Samsung,MYR,104.91,0.29
T1000097,C100572,2023-11-27 00:16:45,card_spend,utilities,TNB,MYR,89.56,0.31
T1000098,C107913,2022-03-03 14:14:26,card_spend,travel,Tesco,USD,67.26,0.39
T1000099,C104791,2025-02-10 13:28:09,card_spend,ride_hailing,AirAsia,MYR,28.47,0.09
T1000100,C100603,2025-02-06 04:29:15,transfer_in,electronics,Lazada,MYR,464.33,0.0
T1000101,C102795,2024-09-09 21:33:17,card_spend,ecommerce,Netflix,MYR,19.57,0.68
T1000102,C102813,2022-04-04 03:20:00,card_spend,utilities,TNG,SGD,117.65,0.68
T1000103,C106225,2025-05-17 09:25:16,card_spend,groceries,Tesco,MYR,162.84,0.69
T1000104,C103619,27/06/2022 20:30,transfer_out,food_delivery,Tesco,USD,167.43,1.3
T1000105,C104804,2023-05-27 11:22:09,card_spend,utilities,Lazada,MYR,102.66,1.11
T1000106,C103818,17/11/2024 03:52,transfer_in,food_delivery,AEON,MYR,148.25,0.0
T1000107,C100228,2022-02-22 15:14:15,card_spend,food_delivery,Lazada,MYR,132.78,0.19
T1000108,C105957,2025-07-31 04:40:12,cash_withdrawal,travel,TNG,MYR,315.44,1.94
T1000109,C106134,2024-12-31 23:17:58,transfer_out,groceries,Netflix,MYR,265.59,0.86
T1000110,C101534,12/01/2023 14:01,card_spend,food_delivery,Lazada,MYR,73.26,0.0
T1000111,C102178,2023-02-25 03:49:44,card_spend,ecommerce,Shopee,MYR,74.76,1.24
T1000112,C101631,2022-11-14 07:08:50,transfer_out,travel,Tesco,MYR,222.48,1.53
T1000113,C100409,2022-07-05 14:10:18,card_spend,groceries,Grab,MYR,45.59,0.58
T1000114,C102237,2025-08-11 10:43:52,card_spend,groceries,TNG,MYR,108.54,1.31
T1000115,C104769,2023-10-28 12:09:43,card_spend,groceries,Netflix,MYR,6.26,0.13
T1000116,C102810,2022-08-27 13:15:36,card_spend,groceries,Grab,MYR,47.78,0.63
T1000117,C106018,04/08/2024 16:33,card_spend,electronics,Lazada,MYR,103.48,0.0
T1000118,C103175,03/10/2022 06:42,fx_spend,ride_hailing,Shopee,MYR,30.91,0.42
T1000119,C106493,09/11/2022 11:45,fx_spend,ecommerce,AirAsia,MYR,251.17,0.86
T1000120,C104609,03/02/2025 06:07,card_spend,electronics,Samsung,THB,210.53,0.92
T1000121,C105932,2023-05-15 19:00:11,card_spend,electronics,TNB,MYR,264.47,
T1000122,C104859,2023-09-22 07:52:34,card_spend,electronics,Shopee,MYR,10.42,0.37
T1000123,C106632,2022-10-14 03:02:04,card_spend,utilities,AirAsia,MYR,212.02,1.33
T1000124,C104480,2022-07-12 06:21:38,transfer_in,food_delivery,grab,SGD,198.41,0.0
T1000125,C105332,2025-08-18 01:51:16,transfer_in,subscriptions,Maxis,MYR,475.02,0.0
T1000126,C107294,2023-01-06 16:18:24,transfer_out,food_delivery,Lazada,MYR,305.83,2.79
T1000127,C101257,2023-02-11 19:42:25,transfer_in,utilities,AirAsia,MYR,745.52,0.0
T1000128,C100070,2025-06-19 20:30:51,transfer_out,electronics,Netflix,PHP,362.11,2.45
T1000129,C106582,2022-10-29 22:00:31,card_spend,groceries,Grab,MYR,192.12,0.61
T1000130,C101720,2023-01-07 17:42:06,card_spend,ride_hailing,Shopee,USD,30.46,0.93
T1000131,C107997,2023-07-29 05:02:43,card_spend,utilities,Samsung,THB,8.23,0.79
T1000132,C106034,26/11/2023 03:00,transfer_in,groceries,Tesco,MYR,200.46,0.0
T1000133,C102552,18/05/2022 09:07,fx_spend,ride_hailing,Grab,MYR,8.55,1.48
T1000134,C100737,18/04/2025 00:11,cash_withdrawal,travel,Shopee,MYR,277.35,2.48
T1000135,C104506,22/05/2025 09:14,card_spend,ecommerce,Netflix,MYR,61.49,0.14
T1000136,C107633,2022-09-26 18:49:18,cash_withdrawal,utilities,TNG,USD,300.79,1.27
T1000137,C103964,26/01/2022 18:18,fx_spend,utilities,AEON,MYR,15.1,0.5
T1000138,C107944,2023-05-17 06:57:54,transfer_in,ecommerce,Netflix,SGD,171.24,0.0
T1000139,C103341,28/01/2024 03:47,cash_withdrawal,utilities,TNB,MYR,137.94,2.92
T1000140,C106697,2023-04-27 17:12:20,card_spend,ecommerce,TNB,SGD,45.34,0.51
T1000141,C105692,2024-08-16 09:29:37,card_spend,ecommerce,AirAsia,MYR,78.79,0.45
T1000142,C104119,20/07/2022 01:03,transfer_out,groceries,Maxis,USD,414.08,1.36
T1000143,C100885,2025-06-28 00:32:05,transfer_out,utilities,aeon,MYR,25.86,1.26
T1000144,C102502,2022-04-17 23:19:05,transfer_out,food_delivery,AEON,MYR,486.48,0.16
T1000145,C107965,2022-12-07 12:25:32,transfer_out,food_delivery,Shopee,USD,392.86,0.33
T1000146,C106631,2024-09-21 02:27:08,card_spend,ecommerce,MAXIS,SGD,37.09,0.32
T1000147,C101540,2024-04-10 18:55:09,fx_spend,ride_hailing,Maxis,IDR,112.24,1.26
T1000148,C106153,2023-10-22 22:15:14,card_spend,ecommerce,Lazada,MYR,111.51,0.0
T1000149,C101162,2022-01-05 01:07:44,card_spend,electronics,Grab,USD,107.5,0.13
T1000150,C104591,2023-08-14 03:26:38,card_spend,ecommerce,Grab,THB,83.26,0.43
T1000151,C103011,2024-02-23 06:38:36,card_spend,ecommerce,Netflix,MYR,14.29,0.85
T1000152,C106643,2022-10-18 10:04:56,transfer_in,ecommerce,Shopee,MYR,670.03,0.0
T1000153,C100193,2024-04-04 12:06:05,transfer_out,food_delivery,Maxis,MYR,491.64,1.74
T1000154,C101900,2024-08-07 16:30:54,card_spend,groceries,LAZADA,MYR,71.52,0.19
T1000155,C101141,2023-12-02 08:21:23,cash_withdrawal,groceries,Netflix,MYR,358.4,1.29
T1000156,C102416,05/04/2025 17:53,cash_withdrawal,food_delivery,Maxis,SGD,90.91,2.28
T1000157,C104263,2022-07-26 18:56:27,cash_withdrawal,travel,Netflix,USD,203.28,0.97
T1000158,C101831,2025-05-09 02:14:34,fx_spend,ride_hailing,AirAsia,MYR,199.46,1.35
T1000159,C101428,02/11/2024 01:00,transfer_out,ride_hailing,Grab,MYR,415.58,2.2
T1000160,C105193,2024-10-28 00:30:24,card_spend,subscriptions,TNB,MYR,90.32,0.27
T1000161,C107862,2024-03-05 01:02:41,transfer_out,utilities,TNG,SGD,165.72,1.51
T1000162,C104509,2023-11-29 13:38:25,transfer_out,food_delivery,Shopee,MYR,333.54,0.74
T1000163,C103912,2022-02-21 14:53:09,card_spend,travel,TNG,MYR,8.78,0.85
T1000164,C101862,2022-08-09 14:57:29,card_spend,ride_hailing,TNB,MYR,91.27,0.21
T1000165,C103567,2023-01-27 22:05:29,transfer_in,ecommerce,AirAsia,MYR,159.9,0.0
T1000166,C107826,2023-07-29 20:21:13,card_spend,ride_hailing,TNB,MYR,80.84,0.61
T1000167,C107183,2023-09-16 12:32:05,transfer_out,groceries,Shopee,MYR,505.17,
T1000168,C107529,27/04/2023 00:55,transfer_out,food_delivery,AEON,USD,771.46,
T1000169,C100412,2025-05-25 04:57:15,fx_spend,groceries,Grab,PHP,113.14,0.64
T1000170,C104343,2024-12-04 03:29:36,card_spend,food_delivery,TNB,MYR,93.51,0.38
T1000171,C100401,2023-05-24 12:05:52,card_spend,ecommerce,TNG,VND,168.48,0.62
T1000172,C105773,2025-03-31 22:33:50,card_spend,travel,Samsung,SGD,136.64,0.49
T1000173,C103774,2022-12-29 08:52:55,transfer_out,ride_hailing,Tesco,MYR,108.12,2.08
T1000174,C101787,2022-07-05 03:50:41,transfer_out,ecommerce,Grab,MYR,338.84,1.28
T1000175,C100378,2024-11-15 14:19:48,transfer_out,groceries,Grab,IDR,1.83,0.85
T1000176,C101853,02/08/2025 03:50,transfer_in,ride_hailing,Lazada,VND,325.12,0.0
T1000177,C107996,2022-03-19 20:10:02,fx_spend,ecommerce,AirAsia,PHP,247.48,0.42
T1000178,C102289,2024-01-01 18:23:20,cash_withdrawal,groceries,Grab,VND,253.99,1.77
T1000179,C107241,2023-09-11 17:41:31,card_spend,food_delivery,Tesco,MYR,105.23,1.04
T1000180,C100267,2024-09-20 00:05:44,card_spend,ecommerce,AirAsia,MYR,19.5,0.46
T1000181,C104907,27/06/2024 01:33,card_spend,ecommerce,Netflix,THB,27.74,0.36
T1000182,C100546,2024-12-26 05:02:16,transfer_in,food_delivery,Tesco,USD,322.21,0.0
T1000183,C106292,2022-03-28 10:48:06,transfer_out,travel,grab,MYR,371.95,1.21
T1000184,C107725,2024-01-12 23:11:17,card_spend,groceries,Grab,MYR,29.32,0.66
T1000185,C100213,2022-02-16 03:31:00,transfer_in,ecommerce,TNG,VND,55.23,0.0
T1000186,C105664,2022-01-24 07:44:34,card_spend,groceries,Samsung,IDR,47.45,0.0
T1000187,C104745,2025-04-04 09:48:17,card_spend,ride_hailing,TNB,IDR,122.6,0.39
T1000188,C105583,2024-11-12 06:26:21,card_spend,food_delivery,Lazada,USD,2.31,0.05
T1000189,C105329,2024-06-15 13:46:01,fx_spend,ecommerce,Netflix,MYR,151.39,0.77
T1000190,C101450,23/08/2023 01:27,transfer_in,food_delivery,grab,USD,416.86,0.0
T1000191,C107189,05/03/2022 04:43,transfer_in,travel,Netflix,MYR,64.31,0.0
T1000192,C104549,03/05/2024 01:44,transfer_in,ecommerce,Grab,USD,361.86,0.0
T1000193,C102874,2024-06-10 17:42:44,transfer_in,subscriptions,TNG,MYR,614.98,0.0
T1000194,C104029,09/11/2023 13:13,card_spend,electronics,Shopee,SGD,67.5,0.55
T1000195,C102530,2023-12-24 03:34:02,card_spend,food_delivery,Netflix,MYR,137.95,0.58
T1000196,C100109,2023-04-21 09:16:51,cash_withdrawal,groceries,Lazada,MYR,294.75,1.99
T1000197,C107666,2023-02-14 22:27:57,card_spend,subscriptions, Shopee,SGD,128.29,0.48
T1000198,C102026,2022-12-20 21:55:50,card_spend,ecommerce,Tesco,MYR,85.22,0.22
T1000199,C104038,2024-09-27 23:46:25,card_spend,electronics,Tesco,MYR,61.63,0.57
T1000200,C106809,2023-05-17 14:24:11,card_spend,groceries,TNG,SGD,43.14,0.34
T1000201,C103685,2025-06-10 03:34:25,card_spend,ride_hailing,TNG ,MYR,125.78,0.72
T1000202,C104348,2024-06-29 11:37:06,card_spend,ecommerce,AirAsia,MYR,94.25,
T1000203,C106857,2025-04-08 19:17:02,card_spend,utilities,Tesco,IDR,23.54,0.46
T1000204,C102792,2022-12-17 21:18:14,transfer_out,subscriptions,Maxis,SGD,135.15,2.55
T1000205,C106316,2023-03-08 11:29:22,card_spend,subscriptions,AEON,THB,128.59,0.19
T1000206,C103875,2023-07-20 09:54:34,fx_spend,travel,Netflix,MYR,118.87,1.15
T1000207,C102796,2024-10-14 20:45:30,card_spend,ride_hailing,TNB,MYR,62.91,0.43
T1000208,C107098,2024-02-05 13:04:09,card_spend,groceries,TNB,USD,80.51,0.8
T1000209,C104361,2022-04-21 07:24:44,fx_spend,electronics,Maxis,MYR,38.78,0.5
T1000210,C103319,2023-09-24 11:08:01,card_spend,ecommerce,Netflix,MYR,73.9,0.01
T1000211,C102575,2024-12-24 23:47:16,transfer_in,groceries,TNB,SGD,245.18,0.0
T1000212,C107076,2024-11-11 07:21:29,transfer_out,groceries,Shopee,MYR,123.26,0.87
T1000213,C102949,25/06/2022 12:52,transfer_out,ride_hailing,AirAsia,USD,61.96,1.66
T1000214,C104863,29/08/2025 23:59,fx_spend,subscriptions,TNG,MYR,37.66,1.2
T1000215,C102930,18/07/2023 09:53,transfer_in,food_delivery,Tesco,MYR,195.87,0.0
T1000216,C100855,2025-09-26 23:34:11,card_spend,groceries,AirAsia,MYR,94.16,0.63
T1000217,C100553,2024-10-07 05:01:17,card_spend,ecommerce,Grab,IDR,,0.76
T1000218,C104433,2024-09-26 01:19:45,card_spend,ride_hailing,AirAsia,USD,9.68,0.4
T1000219,C103915,2025-07-27 07:20:47,cash_withdrawal,ecommerce,Shopee,SGD,260.14,2.52
T1000220,C102414,2023-10-24 07:16:16,card_spend,groceries,Tesco,MYR,35.91,0.43
T1000221,C100790,2022-11-18 01:50:22,card_spend,food_delivery,Netflix,MYR,52.36,0.89
T1000222,C104920,2023-01-17 23:14:36,transfer_out,utilities,Shopee,VND,52.61,0.8
T1000223,C105301,2023-08-28 18:52:12,card_spend,ecommerce,AEON,SGD,97.01,0.12
T1000224,C107804,2022-01-30 08:12:12,transfer_out,groceries,Maxis,MYR,266.69,0.62
T1000225,C104785,2023-09-26 11:53:38,fx_spend,subscriptions,Maxis,SGD,134.97,0.18
T1000226,C103691,2024-11-20 15:08:04,transfer_out,utilities,Maxis,MYR,326.41,1.09
T1000227,C106773,2022-05-06 23:42:58,card_spend,travel,AirAsia,THB,41.5,0.85
T1000228,C107698,27/01/2022 20:28,cash_withdrawal,food_delivery,Maxis,MYR,99.6,1.91
T1000229,C100379,2025-03-11 15:05:35,fx_spend,ride_hailing,TNB,MYR,116.03,0.28
T1000230,C105977,2024-12-17 18:01:58,card_spend,food_delivery,Maxis,MYR,140.83,0.38
T1000231,C107960,2024-11-10 20:58:16,card_spend,groceries,Netflix,THB,86.53,0.37
T1000232,C107963,2022-05-03 07:33:01,transfer_out,utilities,TNB,USD,510.8,1.57
T1000233,C104250,2025-08-04 02:45:49,fx_spend,groceries,Netflix,MYR,199.32,1.66
T1000234,C105669,2023-01-12 19:57:33,card_spend,food_delivery,Shopee,USD,29.7,0.63
T1000235,C107918,30/11/2024 09:36,transfer_out,food_delivery,Grab,MYR,22.99,1.2
T1000236,C103970,2022-09-12 04:37:53,card_spend,groceries,AEON,MYR,40.26,0.59
T1000237,C103515,2022-11-27 23:09:37,card_spend,ecommerce,Samsung,MYR,96.65,0.58
T1000238,C104518,2022-04-19 00:35:11,fx_spend,groceries,AEON,MYR,38.4,2.04
T1000239,C102230,2022-10-07 08:08:44,transfer_out,subscriptions,Grab,THB,213.87,1.23
T1000240,C104525,2022-10-23 01:19:50,card_spend,ride_hailing,Netflix,MYR,152.46,0.59
T1000241,C106714,03/02/2022 10:49,card_spend,subscriptions,AirAsia,SGD,72.49,0.3
T1000242,C107212,2022-12-21 04:38:39,transfer_out,groceries,Shopee,MYR,208.64,1.38
T1000243,C106770,12/09/2023 22:40,fx_spend,ecommerce,TNB,MYR,45.89,1.34
T1000244,C106115,12/02/2024 01:35,transfer_out,groceries,Shopee,USD,379.45,2.34
T1000245,C107994,2022-09-05 19:59:15,card_spend,groceries,TNG,MYR,34.98,0.74
T1000246,C107191,2023-10-26 17:55:57,fx_spend,travel,Netflix,SGD,131.14,1.12
T1000247,C100038,2024-02-22 12:54:24,card_spend,food_delivery,Grab,MYR,45.62,
T1000248,C106018,2023-03-16 19:51:59,card_spend,ride_hailing,TNB,USD,142.05,0.53
T1000249,C104995,2023-11-17 08:09:37,transfer_in,ecommerce,TNG,IDR,419.18,
T1000250,C106276,2022-12-22 09:16:09,card_spend,ecommerce,AEON,MYR,96.57,0.01
T1000251,C106894,2022-03-03 00:15:19,card_spend,food_delivery,Shopee,MYR,47.32,0.94
T1000252,C107274,2024-04-22 17:22:43,cash_withdrawal,groceries,TNG,SGD,347.27,2.33
T1000253,C101616,2022-05-15 03:29:49,card_spend,subscriptions,TNG,IDR,51.96,0.02
T1000254,C100820,2023-10-01 13:55:46,transfer_out,electronics,Maxis,MYR,148.46,0.56
T1000255,C106279,2024-07-12 18:01:23,transfer_out,subscriptions,Lazada,MYR,17.26,1.77
T1000256,C102288,2022-03-07 14:54:31,fx_spend,ecommerce,Maxis,VND,175.86,1.29
T1000257,C107098,04/11/2022 03:46,transfer_in,ecommerce,Maxis,MYR,166.12,0.0
T1000258,C103144,2023-06-17 06:40:45,cash_withdrawal,ride_hailing,TNB,MYR,171.03,
T1000259,C107561,2022-02-14 12:06:06,transfer_in,food_delivery,Netflix,MYR,431.68,0.0
T1000260,C102532,2022-11-18 23:10:32,card_spend,ecommerce,Shopee,SGD,31.49,0.0
T1000261,C103337,2025-01-30 13:29:01,card_spend,ecommerce,Samsung,MYR,67.24,0.5
T1000262,C105979,2025-03-05 22:14:38,card_spend,food_delivery,Samsung,SGD,90.71,0.61
T1000263,C106822,2023-02-27 06:31:04,fx_spend,food_delivery,AirAsia,MYR,194.01,1.42
T1000264,C100585,2022-07-18 17:44:57,card_spend,groceries,AirAsia,MYR,69.25,0.49
T1000265,C107588,2022-03-10 03:52:50,card_spend,ride_hailing,Grab,IDR,71.89,0.43
T1000266,C105685,14/09/2023 22:06,transfer_out,ride_hailing,Shopee,MYR,169.56,2.53
T1000267,C106487,2022-08-15 11:55:27,card_spend,subscriptions,TNB,USD,4.8,0.26
T1000268,C104537,2024-02-28 13:24:57,transfer_in,utilities,AirAsia,MYR,100.45,
T1000269,C102647,2025-01-22 01:42:51,cash_withdrawal,food_delivery,Tesco,MYR,198.41,1.85
T1000270,C105743,2024-08-05 21:31:55,card_spend,food_delivery,TNB,MYR,81.41,0.78
T1000271,C102856,2023-06-18 11:41:24,transfer_out,subscriptions,Maxis,MYR,175.12,0.87
T1000272,C103763,2025-02-08 14:28:14,card_spend,utilities,Shopee,MYR,117.12,0.5
T1000273,C103532,2024-03-30 01:21:22,transfer_in,electronics,TNB,MYR,554.98,0.0
T1000274,C106879,04/03/2025 14:24,transfer_out,food_delivery,Shopee,MYR,155.57,0.11
T1000275,C100742,2022-01-14 17:43:20,card_spend,subscriptions,TNG ,MYR,38.65,0.0
T1000276,C104649,03/03/2023 12:04,transfer_in,ecommerce,Lazada,MYR,1000.03,0.0
T1000277,C101166,01/08/2022 06:08,card_spend,subscriptions, TNG,MYR,25.9,0.57
T1000278,C103512,2023-03-30 09:05:46,card_spend,subscriptions,Lazada,MYR,86.79,0.96
T1000279,C107393,2024-05-11 08:26:58,transfer_out,utilities,Samsung,MYR,143.37,0.84
T1000280,C106076,2023-05-28 18:47:13,transfer_in,electronics,Maxis,MYR,522.06,0.0
T1000281,C103062,2025-06-18 02:04:12,card_spend,electronics,AirAsia,SGD,34.25,0.14
T1000282,C105703,2022-06-04 21:02:21,card_spend,ecommerce,Maxis,MYR,42.52,0.91
