loan_id,customer_id,start_date,principal,interest_rate_annual,term_months,status,delinquency_bucket,npl_flag
L500048,C100448,11/10/2023,500.0,0.122,36,delinquent,31-60,0
L500049,C106127,2025-01-20,500.0,0.144,24,paid_off,0-30,0
L500050,C103300,2023-01-25,500.0,0.159,12,current,0-30,0
L500051,C107398,2024-07-10,500.0,0.104,24, delinquent,31-60,0
L500052,C100752,2023-07-11,500.0,0.112,12,PAID_OFF,0-30,0
L500053,C103924,2023-04-18,500.0,0.066,12,default,>90,1
L500054,C105891,2023-02-25,500.0,0.12,24,DELINQUENT,31-60,0
L500055,C101214,2022-05-09,500.0,0.127,18,paid_off,0-30,0
L500056,C101235,2023-10-27,500.0,0.121,12,current,0-30,0
L500057,C100051,2024-05-29,500.0,0.127,6, current,0-30,0
L500058,C104623,2022-10-18,500.0,0.098,36,current,0-30,0
L500059,C106426,2025-06-15,500.0,-0.023,12,default,>90,1
L500060,C104408,2022-11-10,500.0,0.143,12,current, 0-30,0
L500061,C101079,2024-10-18,500.0,0.122,24,paid_off,0-30,0
L500062,C107292,2024-03-23,500.0,0.17,24,current,0-30 ,0
L500063,C105343,2022-04-15,500.0,0.111,24,current,0-30,0
L500064,C106629,2025-09-08,500.0,0.162,18,current,0-30,0
L500065,C100247,2022-07-28,500.0,0.099,12,current,0-30,0
L500066,C103963,2024-07-14,500.0,0.14,6,current,0-30,0
L500067,C107760,2024-11-24,500.0,0.119,12,current,0-30,0
L500068,C102841,2024-11-23,500.0,,12,paid_off,0-30,0
L500069,C102988,26/04/2025,500.0,0.051,12,current,0-30,0
L500070,C106254,2022-03-26,500.0,0.125,24,paid_off,0-30,0
L500071,C106844,2023-02-14,500.0,0.14,6,current,0-30,0
L500072,C103894,2022-08-07,500.0,0.114,12,current,0-30,0
L500073,C107208,2025-02-11,500.0,0.108,24,current,0-30,0
L500074,C105749,2022-06-02,500.0,0.094,18,current,0-30,0
L500075,C106225,2023-03-15,500.0,0.109,24,current,0-30,0
L500076,C107010,14/01/2025,500.0,0.104,24,current,0-30,0
L500077,C100123,2022-03-29,500.0,0.138,36,paid_off ,0-30,0
L500078,C107145,2024-03-24,500.0,0.125,12,paid_off,0-30,0
L500079,C101871,2022-02-02,500.0,0.097,36,current,0-30,0
L500080,C107415,06/06/2022,500.0,0.087,24,paid_off,0-30,0
L500081,C100584,2023-12-16,500.0,0.115,36,current,0-30,0
L500082,C105250,2023-04-29,500.0,0.168,24,current,0-30,0
L500083,C107507,2024-03-09,500.0,0.073,12,current,0-30,0
L500084,C104812,2025-07-04,500.0,,24,current,0-30,0
L500085,C106643,2022-11-19,500.0,0.141,36,default,>90,1
L500086,C104155,2024-03-27,500.0,0.157,24,paid_off,0-30,0
L500087,C107980,17/06/2025,500.0,0.133,24,paid_off,0-30,0
L500088,C106799,2022-12-05,500.0,0.109,24,current,0-30,0
L500089,C100993,24/10/2023,500.0,0.063,36,current,0-30,0
L500090,C103643,2022-05-19,500.0,0.108,48,current,31-60,0
L500091,C100201,2022-08-29,500.0,0.115,24,paid_off,0-30,0
L500092,C102883,2024-12-14,500.0,0.111,12,current,0-30,0
L500093,C105560,2024-03-12,500.0,0.156,6,paid_off,0-30,0
L500094,C104570,07/07/2022,500.0,0.137,24,current,31-60,0
L500095,C104928,2022-12-07,500.0,0.114,18,current,31-60,0
L500096,C106863,06/08/2022,500.0,0.09,6,current,0-30,0
L500097,C105054,2023-12-16,500.0,0.074,12,current,0-30,0
L500098,C102464,2024-09-26,500.0,0.108,24,current,31-60,0
L500099,C103668,2023-03-22,500.0,0.131,24,paid_off,0-30,0
L500100,C105255,2024-08-31,500.0,0.139,18,current,0-30,0
L500101,C100010,2024-11-11,500.0,0.108,18,current ,0-30,0
L500102,C102043,2024-03-20,500.0,0.14,12,delinquent,31-60,0
L500103,C106346,2022-04-02,500.0,0.113,36,current,0-30,0
L500104,C100534,09/02/2024,500.0,0.087,36,current,0-30,0
L500105,C103549,05/12/2022,500.0,0.108,12,current,0-30,0
L500106,C101672,2025-02-28,500.0,0.137,18,paid_off,0-30,0
L500107,C102744,26/11/2024,500.0,0.129,12,current,0-30,0
L500108,C105832,2022-01-05,500.0,0.109,18,current,0-30,0
L500109,C103094,2023-03-17,500.0,0.055,18,current,0-30,0
L500110,C106722,2025-09-03,500.0,0.124,12,current,31-60,0
L500111,C100482,2023-10-06,500.0,0.11,48,default,>90,1
L500112,C107387,2025-01-06,500.0,0.169,12,current,31-60,0
L500113,C105065,2022-12-07,500.0,0.184,24,paid_off,0-30,0
L500114,C102674,2024-01-15,500.0,0.099,36, delinquent,31-60,0
L500115,C105365,2023-04-22,500.0,0.085,12,delinquent,31-60,0
L500116,C101627,14/12/2023,500.0,0.115,12,default,>90,1
L500117,C100299,2023-06-24,500.0,0.163,12,current,0-30,0
L500118,C100608,2022-10-31,500.0,0.079,6,current,0-30,0
L500119,C103875,2023-02-15,500.0,0.141,12,default,>90,1
L500120,C100207,2024-11-09,500.0,0.138,24,paid_off,0-30,0
L500121,C107578,2022-11-11,500.0,0.1,18,current,31-60,0
L500122,C106708,2023-05-15,500.0,0.128,18,CURRENT,0-30,0
L500123,C102261,2024-02-14,500.0,0.172,12,current,31-60,0
L500124,C107248,2023-10-01,500.0,0.122,12,current,31-60,0
L500125,C103234,2022-01-12,500.0,0.162,12,current,0-30,0
L500126,C101554,2023-07-31,500.0,0.074,12,current,0-30,0
L500127,C100580,2023-02-10,500.0,0.095,12,paid_off,0-30,0
L500128,C104262,2022-03-27,500.0,0.117,12,paid_off, 0-30,0
L500129,C105521,27/04/2025,500.0,0.136,36,current,0-30,0
L500130,C106454,2022-05-15,500.0,0.171,24,paid_off,0-30,0
L500131,C106228,2023-08-02,500.0,0.126,36,paid_off,0-30,0
L500132,C101186,2022-02-03,500.0,0.152,24,current, 0-30,0
L500133,C100509,2022-11-15,500.0,0.064,18,paid_off,0-30,0
L500134,C103439,2023-07-22,500.0,0.136,24,paid_off,0-30,0
L500135,C101781,18/01/2023,500.0,0.173,36,current,0-30,0
L500136,C102848,2024-07-16,500.0,0.191,12,delinquent,31-60,0
L500137,C100942,2023-01-25,500.0,0.11,6,paid_off,0-30,0
L500138,C101726,25/08/2025,500.0,0.161,6,current,0-30,0
L500139,C104091,2024-12-07,500.0,0.145,36,current,0-30,0
L500140,C102816,05/03/2025,500.0,0.152,24,CURRENT,0-30,0
L500141,C103607,2022-10-23,500.0,0.115,18,current,0-30,0
L500142,C102641,19/04/2025,500.0,0.141,24,current,0-30,0
L500143,C104062,2022-10-28,500.0,0.089,12,paid_off,0-30,0
L500144,C104270,2024-03-18,500.0,0.102,18,paid_off,0-30,0
L500145,C102859,09/04/2025,500.0,0.12,18,paid_off,0-30,0
L500146,C104366,2024-11-08,500.0,0.066,36,paid_off,0-30,0
L500147,C105094,2025-03-30,500.0,0.111,6,current,0-30,0
L500148,C102884,2023-03-10,500.0,0.149,6,current,0-30,0
L500149,C101448,2022-07-04,500.0,0.145,18,current,0-30,0
L500150,C102398,2025-03-11,500.0,0.044,48,current,0-30,0
L500151,C101228,2024-06-24,500.0,0.118,36,current,0-30,0
L500152,C105406,2023-04-14,500.0,0.105,36,current,0-30,0
L500153,C103562,2024-06-21,500.0,0.073,12,PAID_OFF,0-30,0
L500154,C100268,2023-05-14,500.0,0.081,24,current,0-30,0
L500155,C101492,2023-10-03,500.0,0.134,12,current,0-30,0
L500156,C104075,2022-11-30,500.0,0.081,12,default,>90,1
L500157,C103606,16/03/2025,500.0,0.142,36,current,0-30,0
L500158,C103636,2024-02-01,500.0,0.118,24,current,0-30,0
L500159,C107683,2024-05-02,500.0,0.107,36,current ,0-30,0
L500160,C100078,2022-03-30,500.0,,18,current,0-30,0
L500161,C107818,2023-12-15,500.0,0.144,24,default,>90,1
L500162,C106215,2023-03-14,500.0,0.162,36,delinquent,31-60,0
L500163,C103103,2025-06-03,500.0,0.112,24,default,>90,1
L500164,C103405,2023-07-21,500.0,0.072,36,current,0-30,0
L500165,C103280,2022-04-15,500.0,0.163,12,DELINQUENT,61-90,1
L500166,C100457,20/06/2023,500.0,0.114,24,current,31-60,0
L500167,C100145,08/09/2024,500.0,0.088,6,PAID_OFF,0-30,0
L500168,C101488,2024-08-21,500.0,0.118,12,current,0-30,0
L500169,C106674,2024-05-22,500.0,0.134,6,current,0-30,0
L500170,C107016,2023-09-13,500.0,0.084,18,current,0-30,0
L500171,C100009,2024-10-29,500.0,0.179,12,paid_off,0-30,0
L500172,C101669,2023-05-29,500.0,0.121,24,paid_off,0-30,0
L500173,C104922,2025-04-13,500.0,0.139,12,current,0-30,0
L500174,C106183,2024-10-19,500.0,0.047,36,delinquent,31-60,0
L500175,C102054,2023-11-22,500.0,0.119,36,current,0-30,0
L500176,C105561,2022-12-26,500.0,0.095,24,current,0-30,0
L500177,C100169,2025-08-11,500.0,0.082,12,paid_off,0-30,0
L500178,C103974,2022-05-07,500.0,0.102,24,current,31-60,0
L500179,C106098,2023-12-22,500.0,0.154,12,current,0-30,0
L500180,C102997,04/05/2025,500.0,0.145,36,current,0-30,0
L500181,C100866,2024-07-01,500.0,0.077,12,delinquent,61-90,1
L500182,C104390,2024-05-26,500.0,0.075,12,current,0-30,0
L500183,C103939,2024-04-20,500.0,0.148,18,paid_off,0-30,0
L500184,C107298,2025-02-12,500.0,0.111,36,current,0-30,0
L500185,C106414,2023-07-18,500.0,0.074,24,current,31-60,0
L500186,C105114,2025-03-25,500.0,0.153,36,current,0-30,0
L500187,C102660,2022-06-05,500.0,0.11,12,current,0-30,0
L500188,C101406,2023-04-04,500.0,0.123,6,paid_off,0-30,0
L500189,C105823,2023-11-12,500.0,0.111,12,default,>90,1
L500190,C105800,2023-10-21,500.0,-0.023,24,paid_off,0-30,0
L500191,C101449,2022-08-16,500.0,0.092,48,current,0-30,0
L500192,C100039,2022-06-06,500.0,0.146,24,delinquent,61-90,1
L500193,C103771,2022-09-23,500.0,0.129,12,current,31-60,0
L500194,C104872,2022-10-04,500.0,0.154,36,current,0-30,0
L500195,C103964,2024-05-15,500.0,0.12,6,current,0-30,0
L500196,C104728,2023-08-25,500.0,0.133,24,paid_off,0-30,0
L500197,C103914,21/09/2023,500.0,0.106,12,delinquent,31-60,0
L500198,C106591,2023-06-14,500.0,0.115,36,current,0-30,0
L500199,C105491,2022-04-26,500.0,0.148,12,delinquent,31-60,0
L500200,C104768,03/11/2023,500.0,0.107,18,current,0-30,0
L500201,C103016,2022-05-29,500.0,0.149,24,paid_off,0-30,0
L500202,C102939,2023-10-03,500.0,0.09,6,paid_off,0-30,0
L500203,C103978,2023-10-01,500.0,0.17,24,current,0-30,0
L500204,C104781,2022-04-01,500.0,0.121,12,current,0-30,0
L500205,C106038,2022-05-17,500.0,0.15,12,current,0-30,0
L500206,C102540,16/08/2025,500.0,0.148,36,paid_off,0-30,0
L500207,C106563,22/09/2024,500.0,0.128,24,paid_off,0-30,0
L500208,C102648,22/07/2024,500.0,0.146,18,delinquent,61-90,1
L500209,C106173,19/12/2024,500.0,0.165,18,paid_off,0-30,0
L500210,C103423,2022-10-27,500.0,0.102,12,paid_off,0-30,0
L500211,C106903,2022-04-05,500.0,0.137,48,paid_off,0-30,0
L500212,C106921,18/12/2024,500.0,0.155,12,paid_off ,0-30,0
L500213,C101924,2023-08-27,500.0,0.129,36,default,>90,1
L500214,C100105,01/01/2023,500.0,0.133,12,paid_off,0-30,0
L500215,C105035,2023-08-31,500.0,0.127,12,current,0-30,0
L500216,C104778,2022-01-25,500.0,0.137,24,current,0-30,0
L500217,C105164,22/10/2022,500.0,0.193,24,current ,0-30,0
L500218,C103573,2022-03-18,500.0,0.168,24,current,0-30,0
L500219,C106344,07/03/2023,500.0,0.153,48,delinquent,31-60,0
L500220,C104997,2024-03-25,500.0,0.126,12,paid_off,0-30,0
L500221,C107730,2022-07-16,500.0,0.06,18,current,0-30,0
L500222,C104565,2022-04-11,500.0,0.12,18,paid_off,0-30,0
L500223,C106598,2025-05-11,500.0,0.091,12,delinquent,61-90,1
L500224,C100643,2022-01-13,500.0,0.111,12,current,0-30,0
L500225,C100846,04/08/2022,500.0,0.183,18,current,0-30,0
L500226,C101259,2022-12-07,500.0,0.136,12,current,0-30,0
L500227,C102372,2023-08-17,500.0,0.099,24,paid_off,0-30,0
L500228,C107211,2025-06-26,500.0,,12,paid_off,0-30,0
L500229,C104862,2024-04-04,500.0,0.155,12,current,0-30,0
L500230,C104506,2024-09-15,500.0,0.078,12,current,0-30,0
L500231,C105858,2024-07-08,500.0,0.148,24,current,0-30,0
L500232,C103946,2024-07-19,500.0,0.122,12,current,0-30,0
L500233,C100999,2022-05-24,500.0,0.111,12,current,0-30,0
L500234,C100852,06/04/2024,500.0,0.142,24,default,>90,1
L500235,C103594,2024-06-10,500.0,0.101,36,current,0-30,0
L500236,C106011,17/09/2022,500.0,0.14,36,current,0-30,0
L500237,C104273,2024-09-05,500.0,0.121,24,current,0-30,0
L500238,C102320,2023-12-31,500.0,0.139,24,current,0-30,0
L500239,C103232,2025-06-29,500.0,0.16,18,paid_off,0-30,0
L500240,C103779,2024-11-27,500.0,,12,paid_off,0-30,0
L500241,C102114,2025-09-20,500.0,0.163,12,paid_off,0-30,0
L500242,C104754,2024-01-26,500.0,0.078,12,paid_off, 0-30,0
L500243,C107809,2023-07-04,500.0,0.122,18,current ,0-30,0
L500244,C100143,2025-07-04,500.0,0.068,12,current,0-30,0
L500245,C101952,11/11/2023,500.0,0.127,12,paid_off,0-30,0
L500246,C100950,2024-07-10,500.0,0.155,12,current,0-30,0
L500247,C100386,2022-01-22,500.0,0.133,18,current,0-30,0
L500248,C105366,2024-10-10,500.0,0.148,36,current,31-60,0
L500249,C105310,2025-06-18,500.0,0.175,24,current,0-30,0
L500250,C106861,2023-08-18,500.0,0.158,24,paid_off,0-30,0
L500251,C102396,2022-01-11,500.0,0.148,12,current,0-30,0
L500252,C104837,2025-04-29,500.0,0.095,18,paid_off,0-30,0
L500253,C102178,28/10/2022,500.0,0.127,12,current,0-30,0
L500254,C103130,2025-01-31,500.0,0.152,12,current,0-30,0
L500255,C101599,2022-08-15,500.0,0.123,18,current,0-30,0
L500256,C101586,28/01/2022,500.0,0.094,24,paid_off,0-30,0
L500257,C106495,2024-05-30,500.0,0.096,12,current,0-30,0
L500258,C101474,2024-07-30,500.0,0.139,18,current,0-30,0
L500259,C107790,20/05/2022,500.0,0.097,12,delinquent,31-60,0
L500260,C102918,09/06/2023,500.0,0.115,48,paid_off ,0-30,0
L500261,C107934,2025-06-11,500.0,0.122,6,current,0-30,0
L500262,C102683,2022-09-05,500.0,0.13,18,paid_off,0-30,0
L500263,C102120,2022-05-04,500.0,0.15,18,paid_off,0-30,0
L500264,C100875,31/05/2023,500.0,0.104,24, current,0-30,0
L500265,C100673,2024-06-13,500.0,0.108,12,current,0-30,0
L500266,C100711,2023-06-13,500.0,0.084,24,CURRENT,0-30,0
L500267,C103124,2023-08-08,500.0,0.074,18,current,0-30,0
L500268,C107445,2023-02-15,500.0,0.121,18,paid_off,0-30,0
L500269,C100451,14/08/2023,500.0,0.106,18,current,0-30,0
L500270,C102628,2022-02-27,500.0,0.07,12,paid_off,0-30,0
L500271,C106024,2025-07-10,500.0,0.107,12,paid_off,0-30,0
L500272,C107288,2024-11-29,500.0,0.149,36,current,31-60,0
L500273,C106465,2024-06-29,500.0,0.127,36,current,0-30,0
L500274,C103161,2025-07-05,500.0,0.131,6,current,0-30,0
L500275,C101819,2022-08-09,500.0,0.108,18,paid_off,0-30,0
L500276,C106282,02/01/2023,500.0,0.126,6,current,0-30,0
L500277,C104261,2024-04-02,500.0,0.121,12,current,0-30,0
L500278,C104150,2023-05-01,500.0,0.142,24,paid_off,0-30,0
L500279,C105813,2023-07-02,500.0,0.099,18,paid_off,0-30,0
L500280,C107472,2022-10-26,500.0,0.172,18,current,0-30,0
L500281,C107557,2022-10-08,500.0,0.134,18,current,0-30,0
L500282,C104932,2024-04-20,500.0,0.141,24,delinquent,31-60,0
L500283,C106870,2024-12-02,500.0,0.062,12,current,0-30,0
L500284,C105610,2025-06-29,500.0,0.102,24,paid_off,0-30,0
L500285,C104935,2025-05-15,500.0,0.07,36,current,0-30,0
L500286,C104882,2022-09-12,500.0,0.094,12,delinquent,31-60,0
L500287,C103478,07/10/2022,500.0,0.132,18,current,0-30,0
L500288,C102146,2024-02-21,500.0,0.139,12,default,charge-off,1
L500289,C102440,2023-08-16,500.0,0.135,36,paid_off,0-30,0
L500290,C103795,2023-02-01,500.0,0.111,36,current, 0-30,0
L500291,C107664,2023-02-15,500.0,0.106,18,current,0-30,0
L500292,C104158,2025-01-07,500.0,0.118,24,current,31-60,0
L500293,C104864,2024-10-16,500.0,0.114,24,current,0-30 ,0
L500294,C107458,13/05/2025,500.0,0.147,12,current,0-30,0
L500295,C101608,2022-06-21,500.0,,18,default,>90,1
L500296,C105287,10/02/2023,500.0,0.141,18,current,0-30,0
L500297,C106300,2022-06-04,500.0,0.122,36,current,0-30,0
L500298,C100903,2024-05-09,500.0,0.171,24,current,0-30,0
L500299,C107989,2022-11-12,500.0,0.1,24,default,>90,1
L500300,C106597,01/06/2024,500.0,0.129,12,paid_off,0-30,0
L500301,C102512,2025-02-21,500.0,0.09,12, paid_off,0-30,0
L500302,C106831,14/02/2023,500.0,0.101,24,current,0-30,0
L500303,C103898,2023-09-18,500.0,0.093,24,delinquent,31-60,0
L500304,C107156,2023-10-31,500.0,0.074,48,current,0-30,0
L500305,C101163,2024-06-11,500.0,0.088,48,paid_off,0-30,0
L500306,C104670,06/06/2023,500.0,0.072,12,default,>90,1
L500307,C101266,11/05/2025,500.0,0.134,12,PAID_OFF,0-30,0
L500308,C102754,28/11/2024,500.0,0.117,24,delinquent,61-90,1
L500309,C102703,2022-02-06,500.0,0.122,12,DEFAULT,>90,1
L500310,C102263,2024-02-26,500.0,0.111,12,current,0-30,0
L500311,C101558,2023-03-19,500.0,0.138,12,current,0-30,0
L500312,C101619,2022-06-19,500.0,0.141,24,current,0-30,0
L500313,C104318,17/04/2024,500.0,0.128,18,default,CHARGE-OFF,1
L500314,C106906,2023-04-22,500.0,0.115,6,current,0-30,0
L500315,C104068,01/10/2024,500.0,0.095,24,delinquent,31-60,0
L500316,C102704,2022-12-16,500.0,0.163,12,current,0-30,0
L500317,C107893,17/08/2025,500.0,0.065,36,paid_off,0-30,0
L500318,C102561,2023-08-21,500.0,,24,default,charge-off,1
L500319,C102801,31/12/2024,500.0,0.092,6,current,0-30,0
L500320,C103225,2022-03-14,500.0,0.115,24,current,0-30,0
L500321,C103363,2023-08-12,500.0,0.089,12,current ,0-30,0
L500322,C104643,21/03/2025,500.0,0.145,12,default,charge-off,1
L500323,C101249,2023-04-16,500.0,0.097,36,paid_off,0-30,0
L500324,C100218,2022-10-22,500.0,0.15,24,paid_off,0-30,0
L500325,C101025,2024-05-03,500.0,0.103,36,delinquent,31-60,0
L500326,C100065,2022-02-22,500.0,0.12,12,paid_off,0-30,0
L500327,C100897,2024-07-15,500.0,0.105,48,current,0-30,0
L500328,C107540,2022-10-28,500.0,0.121,18,delinquent,31-60,0
L500329,C100874,17/06/2025,500.0,0.104,24,current,0-30,0
L500330,C106004,2022-07-22,500.0,0.177,24,current,0-30,0
L500331,C102839,2023-11-13,500.0,0.111,12,current,0-30,0
L500332,C104113,2023-05-01,500.0,0.112,18,paid_off,0-30,0
L500333,C106745,2022-11-21,500.0,0.132,12,delinquent,61-90,1
L500334,C104810,2023-07-15,500.0,0.145,12,default,>90,1
L500335,C100165,2022-02-08,500.0,0.13,18,paid_off ,0-30,0
L500336,C100849,2024-04-26,500.0,0.122,6,paid_off,0-30,0
L500337,C107119,2022-11-13,500.0,0.122,36,paid_off,0-30,0
L500338,C106248,2023-03-31,500.0,0.102,36,DELINQUENT,61-90,1
L500339,C104443,2022-01-31,500.0,0.188,24,current,0-30,0
L500340,C106043,2022-01-14,500.0,0.098,18,current,31-60,0
L500341,C102961,2025-09-16,500.0,0.113,12,current,0-30,0
L500342,C103769,26/03/2025,500.0,0.132,12,delinquent,61-90,1
L500343,C106994,2022-12-19,500.0,0.146,12,current,0-30,0
L500344,C102522,2025-03-22,500.0,0.153,24,paid_off,0-30,0
L500345,C100278,08/02/2022,193773.26,0.089,24,current,0-30,0
L500346,C107149,23/04/2024,500.0,0.12,24,current,0-30,0
L500347,C104529,21/01/2023,500.0,0.103,48,paid_off,0-30,0
L500348,C102469,16/01/2022,500.0,0.068,6,delinquent,61-90,1
L500349,C105227,2022-04-06,500.0,0.12,24, current,0-30,0
L500350,C102740,2025-04-06,500.0,0.102,12,current,0-30,0
L500351,C107227,2023-03-28,500.0,0.157,36,current,0-30,0
L500352,C102295,2025-02-10,500.0,0.167,48,paid_off,0-30,0
L500353,C102477,2022-03-18,500.0,0.139,18,default,charge-off,1
L500354,C103378,25/07/2024,500.0,0.171,6,default,>90,1
L500355,C105904,2024-04-21,500.0,0.115,12,default,charge-off,1
L500356,C106976,2025-06-09,500.0,0.139,24,current,0-30,0
L500357,C107163,2024-07-14,500.0,0.132,24,current ,0-30,0
L500358,C100931,08/03/2025,500.0,,24,current,0-30,0
L500359,C106486,2023-06-16,500.0,0.156,36,paid_off,0-30,0
L500360,C104343,2025-06-26,500.0,0.13,36,current,0-30,0
L500361,C101629,24/10/2023,500.0,0.123,48,current,0-30,0
L500362,C100578,2022-07-28,500.0,0.167,36,current,31-60,0
L500363,C106889,2023-06-03,500.0,0.123,12,current,0-30,0
L500364,C104679,2025-07-11,500.0,0.109,18,default,>90,1
L500365,C101525,2024-03-27,500.0,0.081,12,delinquent,31-60,0
L500366,C105726,2024-08-24,500.0,0.105,18,current,0-30,0
L500367,C104476,2023-01-27,500.0,0.182,12,current,0-30,0
L500368,C106843,17/02/2023,500.0,0.108,12,paid_off,0-30,0
L500369,C107649,2025-04-03,500.0,0.099,36,current,0-30,0
L500370,C101950,2023-04-11,500.0,0.125,6,current, 31-60,0
L500371,C100623,18/12/2024,500.0,0.142,36,default,>90,1
L500372,C107147,2023-06-08,500.0,0.184,12,current,31-60,0
L500373,C106203,2025-07-06,500.0,0.14,24,current,0-30,0
L500374,C102667,20/05/2023,500.0,0.118,12,current,0-30,0
L500375,C107122,2022-11-11,500.0,0.174,18,delinquent,31-60,0
L500376,C103381,2022-05-24,500.0,,12,current,0-30,0
L500377,C106379,2024-08-22,500.0,0.128,12,current,0-30,0
L500378,C105576,2022-03-13,500.0,0.09,12,paid_off, 0-30,0
L500379,C105029,2023-07-28,500.0,0.12,12,current,0-30,0
L500380,C102439,2023-06-25,500.0,0.118,18,paid_off,0-30,0
L500381,C105953,10/08/2024,500.0,0.129,12,delinquent,31-60,0
L500382,C101513,29/11/2024,500.0,0.126,18,current,0-30,0
L500383,C101878,2025-08-10,500.0,0.094,12,paid_off, 0-30,0
L500384,C100850,2024-08-20,500.0,0.083,6,current,0-30,0
L500385,C104173,2024-04-13,500.0,0.176,18,current,0-30,0
L500386,C106916,08/05/2022,500.0,0.151,6,delinquent,31-60,0
L500387,C106628,17/02/2024,500.0,0.154,36,current,0-30,0
L500388,C100785,25/02/2024,500.0,0.093,24,current,0-30,0
L500389,C100775,2023-07-08,500.0,0.111,36,current,31-60,0
L500390,C105167,2023-01-18,500.0,0.076,12,paid_off,0-30,0
L500391,C104842,2025-08-16,500.0,0.081,12,current,0-30,0
L500392,C107936,16/01/2025,500.0,0.118,18,current,0-30,0
L500393,C102806,2023-04-25,500.0,0.112,12,paid_off,0-30,0
L500394,C100324,2023-01-30,500.0,0.128,12,current,0-30,0
L500395,C100555,2025-06-22,500.0,0.111,6,paid_off,0-30,0
L500396,C106380,2025-01-29,500.0,0.113,24,default,>90,1
L500397,C101691,2023-03-29,500.0,0.115,12,current,0-30,0
L500398,C103629,2024-05-23,500.0,0.055,12,current,31-60,0
L500399,C101775,2025-03-19,500.0,0.068,6,current,0-30,0
L500400,C106060,2023-08-02,500.0,0.129,36,current,0-30,0
L500401,C107880,21/04/2025,500.0,0.137,48,default,>90,1
L500402,C106773,2025-09-10,500.0,0.084,6,paid_off,0-30,0
L500403,C105686,2024-07-28,500.0,0.105,12,paid_off,0-30 ,0
L500404,C100225,08/02/2022,500.0,0.097,12,delinquent,61-90,1
L500405,C101366,2025-07-06,500.0,0.163,36,current,0-30,0
